Assault Rifles,,,,,
Firearm Name,Ruble Cost,USD Cost,Loyalty Req,Bullet Type,Description
HK-416A5,"?60,000","$6,000 ",Loyalty 1,5.56x45 mm,"HK416 Model designed to build on top of an already successful platform.
Customizable to various degrees."
AK-12 ,"?62,000","$6,200 ",Loyalty 1,5.45x39 mm,Russian-made Modular Rifle made to replace the AK-74M. 5.45 Calibur Rounds with Solid Stats all around.
M4A1,"?25,000","$2,500 ",Loyalty 1,5.56x45 mm,"Company Produced Arma-Lite Rifles, in use by Island Security. 
Does not excel anywhere, but extremely customizable."
Steyr AUG A3,"?51,000","$5,100 ",Loyalty 1,5.56x45 mm,Bullpup Design. It's inherent design gives the user better stability.
GR G36,"?44,000","$4,400 ",Loyalty 1,5.56x45 mm,"Germany's Old Service Rifle. Most popular with the Bundeswehr. 
While not as customizable as an AR, It's stats are excellent."
AK103,?47000,"$4,700 ",Loyalty 1,7.62x39 mm,"AK Systems rifle utilizing a build similar to that of the 74. 
Uses 7.62 rounds to put holes in people."
AK-74M,"?26,000","$2,600 ",Loyalty 1,5.45x39 mm,Russian Military Surplus Rifle. Relatively Cheap to obtain and easy to use.
HK433,"?72,000","$7,200 ",Loyalty 2,5.56x45 mm,"New Expiramental Assault Rifle looking to be utilized by British Special Forces. Modular, and uses 5.56 rounds"
Daniel Defense MK-18,"?58,000","$5,800 ",Loyalty 2,5.56x45 mm,"AR Platform designed with a Shorter Barrel. 
Suitable for CQB Enviroments with a Lighter Weight Focus"
SIG MCX,"?70,000","$7,000 ",Loyalty 3,.300 BLK,"New Prototype Rifle going through field tests. 
Uses .300 BLK rounds, with an internally surpressed barrel."
MK.17,"?35,000","$3,500 ",Loyalty 3,7.62x51 mm,"A Sturdy and hard-hitting Assault Rifle. 
While on the heavier side of most ARs, it makes up for in it's sheer material penetration prowess."
M4 SOPMOD (Custom),"?55,000","$5,500 ",Loyalty 3,5.56x45 mm,"Highly Modifed M4A1 Carbine, used primarily by US Special Forces under SOP Modifiactions. 
Nearly Identical to the AR-15, but sports calibur converstions and CQC Capability"
IWI Tar-21,"?40,000","$4,000 ",Loyalty 3,5.56x45 mm,"Lesser known Bullpup around the world compared to the AUG. 
Unlike the AUG however, sports much more customizability without the use of a conversion."
Abakan AN-94,"?90,000","$9,000 ",Loyalty 3,5.45x39 mm,"Russia's Unique take on the AK Platform alongside the AK-12 and 15. 
It's first two bursts fire extremely fast and consistantly.
Has a rather unique reload well. Less Customization."
H&K G41,"?30,000","$3,000 ",Loyalty 3,5.56x45 mm,"H&K designed AR, intended to replace the G3. 
Able to support a number of conversions, and sports familiar Iron-Sights."
Sub Machine Guns,,,,,
Firearm Name,Ruble Cost,USD Cost,Loyalty Req,Bullet Type,Description
H&K MP5SD,"?25,000","$2,500 ",Loyalty 1,9x19 mm,"Standard Operations SMG for Covert Operations. 
It's Built-in Supressor decreases range."
MP9,"?50,000","$5,000 ",Loyalty 1,9x19 mm,"A light, highly modular and extremely effective SMG indoors and in CQC Engagements."
H&K UMP - 45,"?40,000","$4,000 ",Loyalty 1,.45 ACP,"Solid SMG chambered in .45 ACP. 
It's caliber makes it preform nearly on par with that of an AR."
Vityaz - SN,"?23,000","$2,300 ",Loyalty 1,9x19 mm,"Russian Developed SMG, based on the 74u. 
Rather Solid in terms of stats."
H&K UMP9,"?32,000","$3,200 ",Loyalty 1,9x19 mm,"A rarer, 9mm version of the UMP design. 
While it does not have the firepower of it's sister, 45, it can be fired for a longer period of time thanks to it's 30rnd cap."
MP7A1,"?55,000","$5,500 ",Loyalty 1,4.6x30 mm,"A compact, modular Sub-machine gun. 
It's design leaves it rather popular with Special Operations, allowing reloads to be a bit faster. Has only 20 rnds."
Kriss Vector .45 ACP,"?90,000","$9,000 ",Loyalty 2,.45 ACP,"With a fire-rate higher than any SMG shown before, keeping ammo for this is going to be quite difficult. 
Good Damage output, but suffers from instability."
