Headwear,,,,
Equipment Name,Ruble Cost,USD Cost,Requirements,Description + Effect
6B47 Ratnik-BSh Helmet,"?30,000","$3,000 ",Loyalty 1,"Ballistic Helmet in use by the Russian Military. 
Has Helmet Mount for NVG Peripherals. [Armor Class 3]"
LZSh Light Helmet,"?28,000","$2,800 ",Loyalty 1,"Lightweight Helmet made in Russia. 
Inspired greatly by the Ops-Core FAST Helmet, but to a lesser, more cheaper degree. [Armor Class 3]"
Kiver-M Helmet,"?17,500","$1,750 ",Loyalty 1,"Russian Ballistic Helmet with Covering. Does not support headphones, and limits hearing. 
Its weight is alot lighter however compared to other helms. [Armor Class 3]"
SSSh-95 Sfera-S Helmet,"?50,000","$5,000 ",Loyalty 1,"A similar model to the Kiver, featuring event stronger materials to ensure maximum protection. 
Heavier as a result. [Armor Class 3]"
MSA ACH TC-2002 MICH Series Helm,"?80,000","$8,000 ",Loyalty 1,"Modular ACH Helm, providing ample protection and comfort. 
Low Profile Design allows usage of NVGs without weighing the user down. [Armor Class 3]"
MSA Gallet TC 800 High Cut Helm,"?75,000","$7,500 ",Loyalty 1,"Ballistic Helmet in use by Police Forces and Special Forces alike. 
Highly Modular Design allows for additional armor plating to be applied. [Armor Class 3]"
Diamond Age Bastion Helmet,"?95,000","$9,500 ",Loyalty 1,"A simple, yet effective modular helmet akin to similar choices. 
Features less customizability, but is effective at protecting the user from a closer range. [Armor Class 3]"
Ops-Core Fast MT Helm,"?100,000","$10,000 ",Loyalty 1,"Extremely customizable ACH Platform favored by Special Forces around the world. 
With good ballistics all-around, it's a very safe bet. [Armor Class 4]"
Crye Airframe ATX Helmet,"?85,000","$8,500 ",Loyalty 2,"Unique Helmet Shape improves comfort for the user, all while upholding protection. 
With additional modifcations available, the Airframe can be tweaked to any need. [Armor Class 4]"
Team Wendy Exfil Ballistic Helmet,"?95,000","$9,500 ",Loyalty 2,"Recent Tactical Helmet Design out of the recent few years. 
Similar to that of the Ops-Cor FAST Helm, this helmet builds further upon user protection. 
Highly Rated across the board. [Armor Class 4]"
